wallet,amount,cumulativeAmount
0xc511c9934e9e314da30dffa170d6eb33947ec4bc,469324257000000000,340737001221973000000000
0xc6c554d741c0eac1f70deaec54943f62ac25946a,12145115000000000,340737013367088000000000
0xc78fab6904ced168b894d205d209e95708fa4809,10000000000000000,340737023367088000000000
0xc7a13c9ceba109499c2c00af977591b55a03e6af,999217000000000000,340738022584088000000000
0xc7d3ac5ccaa44f3f0652613ab79adca97090e780,1000000000000000,340738023584088000000000
0xc8987f22eadef2b68c59938d9a6dfb1fc0c4e0b6,209028198209949000,340738232612286000000000
0xc965c6ef32ccc278181cbc68573fa0a5f1997b17,999999999999999,340738233612286000000000
0xcc98745f40c668ccf6bd97a6fd954551bcc1e650,6516430000000000,340738240128716000000000
0xccfa829f12bd1b7618702ace114a0e464f311f6e,80907910000000000,340738321036626000000000
0xcf6fd94d077a08f4e800ad01ba4faa01d9c27779,870000000000000,340738321906626000000000
0xd0f706bf4738732145344dc407d36b88859c3349,18729683654445700000000,359468005561072000000000
0xd1f4b2bb61b2dec72d5222a6beb062a9575d6804,1280317061668520000,359469285878133000000000
0xd3a15d933bc568ce20e93c617822e2ffb77411ea,1000000000000000,359469286878133000000000
0xd4d2a4b571109ad1397e953ab87d6e5feed031b2,4000000000000000000,359473286878133000000000
0xd707e69e6644c2d9709a21acd7b8fbfe5a6de1f6,9000000000000000,359473295878133000000000
0xd7c33aaff9e1fe4e970aee0bcf999a0f9c528b75,80000000000,359473295878213000000000
0xd7e7de032e4682cb150e8fe8c8dcbdc99b4c1fff,16358640000000000,359473312236853000000000
0xd93719574b0bc5f691f5da8cae9599cec1f202c7,4000000000000000000,359477312236853000000000
0xdeb5af89cd95eb814be5c1690144d1f2d7143747,160812978327062000,359477473049832000000000
0xdf86984226814e2970ea94fedd9676276fedfacb,214986730000000000,359477688036562000000000
0xe18b0c48a7d1e9dfa333157fa222c783f35044a7,1000000000000000000,359478688036562000000000
0xe20ec1721fd0a897592d7630786a4a4c848e96a6,9000000000000000,359478697036562000000000
0xe50634f6cabc048e069ead7ddda94dcf51173841,59051583323919200,359478756088145000000000
0xe8ebb13902a7ab342163d2a241c1e4891798b56f,5776906500000000000,359484532994645000000000
0xec0dc7522ff8d3da35924bfaebeb5b8d79121d61,5000175997910000000000,364484708992555000000000
0xed1475eee0c969d4877bd05ffdd6bfdc84b821da,185227590490000000000,364669936583045000000000
0xefc0290283c59572fc03a6cc433831935477ada3,100000000000000000,364670036583045000000000
0xf2919796ac2b7d4c884bec05cebe92a4b6f1e701,1000000000000000,364670037583045000000000
0xf3ee7953a11d5ffae24d12a2e8d2d77afb5a2730,1400000000000000000000,366070037583045000000000
0xf6a4384aa41f74714a71e01b3f3faf75a6e879bc,488528036333721000,366070526111081000000000
0xf6e5e2344a12e036d3a4fed39c931e3351cb8cee,64624000000000,366070526175705000000000
0xf9ee19fa632d737af5614f646c0ce10ec7694031,70326052000000000,366070596501757000000000
0xfae8014dc8bd8806421dfa4c538a770b3d3541dd,9000000000000000,366070605501757000000000
0xfd2b11f7e1b58c7f9ccf5479aab8ed4bf7a7ee8b,500000000000000000,366071105501757000000000
0xfe7e3ee7d3fcd8f3957aafb8348a38d229e4409a,12017531183558900000000,378088636685316000000000
