Wallet	Amount
0x3cb96f3d6b66c55c2942ebe70826f7a15b044a8a	1438.045657734
0xf3ee7953a11d5ffae24d12a2e8d2d77afb5a2730	1400
0x637cc72b210546e0af1590fd2c9153501f3d1bfd	1071.673822858548784718
0xe18b0c48a7d1e9dfa333157fa222c783f35044a7	1
0xc7a13c9ceba109499c2c00af977591b55a03e6af	0.999217
0x1f6cbb740f7eeb4806276376e7378dd1fa36fc11	0.99386177843175
0x956ff844abd8f58add1160c62810ad34befc8bbd	0.977120641896435752
0xbec591de75b8699a3ba52f073428822d0bfc0d7e	0.93260582006291188
0x5aff03be8357d53f4758db5894744f51d515e41f	0.734364468170185838
0x50126e8fcb9be29f83c6bbd913cc85b40eaf86fc	0.55
0xfd2b11f7e1b58c7f9ccf5479aab8ed4bf7a7ee8b	0.5
0xf6a4384aa41f74714a71e01b3f3faf75a6e879bc	0.488528036333721686
0xc511c9934e9e314da30dffa170d6eb33947ec4bc	0.469324257
0x90f737392c48618242b28eaa8d4fdc4793af2676	0.3334
0x3085335d03541c007fb7b15e9112ca1f364ad8bb	0.29
0xc8987f22eadef2b68c59938d9a6dfb1fc0c4e0b6	0.209028198209949667
0x80be1f02d789db2704be5a9f6b97ec8713ebc529	0.2
0xdeb5af89cd95eb814be5c1690144d1f2d7143747	0.16081297832706253
0x06c1edc5d0fb879ab8b129dcff1f7b704782508b	0.1
0xefc0290283c59572fc03a6cc433831935477ada3	0.1
0x22dc62c96de482743b231f29326a3d18b2d73eb2	0.1
0xa96b0d4cacc9714f69e42bfa49cd20858eb2fe24	0.1
0x8edaaaf2f30edd0a561c219f475fff026cdac575	0.09949356
0x10df28c3ccf3300dd8ff924d9f15440f46d918f7	0.09
0xccfa829f12bd1b7618702ace114a0e464f311f6e	0.08090791
0x2ddf00ef072b0375fd4c6f0acfd4cbe0065f9a69	0.07
0x260a28a165081f5cfe94454543514e76ae746410	0.06
0xe50634f6cabc048e069ead7ddda94dcf51173841	0.059051583323919257
0x32a5b17b23d70124c9910b177b131ce3281a930b	0.055
0x8bbaf6956e8e2aef3eb8f192f5eaf48b4bbbb126	0.051
0x5eef2747f49ce446f10036ddf48af6b27c3d61b7	0.05
0xb1acfe19d3277c9b6e29472dbbfa0fa96f81597d	0.05
0x2c6647d4c95b9e064ceb48727cb4f4918c16d824	0.05
0xbf764eb314daad130dbad1f75aec54990f21c29b	0.04
0x25e4af0dd6f4f7127a82a5a82a53e1e6aace4835	0.028
0x77cc39282a160a4a565f10e83c36fd0544965b6e	0.024
0x7f8e70a2851942346eb08ac9b506f83ffbff1138	0.021387135525
0xa6ae6a5d2853262a3f591043ea63d4b06940ef0f	0.02136712
0x30b3c64d43e7a1e8965d934fa96a3bfb33eee0d2	0.02
0x76b51d3d4337b09757a412db0c57182329481a48	0.02
0x8f4b3c36196a4c94c69debded3060424e339c2ea	0.019
0x2993753c24323d9152e69f6589109f67b2921dac	0.019
0xd7e7de032e4682cb150e8fe8c8dcbdc99b4c1fff	0.01635864
0xc6c554d741c0eac1f70deaec54943f62ac25946a	0.012145115
0x69ad38baa72a277cb83d1eccc6279552e0f25dc0	0.011
0x8d2ee01dd9e947067fda69e3b62064556a92d1c8	0.01
0x4022cc301cdfc1df7e1db82c7a0b4448ec1c4df8	0.01
0x6dbb825564e85925b0414fdbd41f764ec475c59b	0.01
0x779cdcb772d2afd7a74418637382d40b4a4330fb	0.01
0x2270be634ed8130a0402cd106de1f04ea35fa0a9	0.01
0x8e4b3eadf078a80a3308da16fce741c2c20305a1	0.01
0xc78fab6904ced168b894d205d209e95708fa4809	0.01
0x4e2c8e58aefaf56b8eaa5d3a5c23cbfcf96c9aed	0.009
0x21d32aa7d6f763a21276189046f45423dc37b14e	0.009
0x0ca95b38cd1551a3db33f2b7ebeb40db84eba8f9	0.009
0x6cb2bc8af04dc5da25dfa001be49d65872e32e79	0.009
0xfae8014dc8bd8806421dfa4c538a770b3d3541dd	0.009
0x8a65df1c21800cb3860d7ffab517bcceea685fb0	0.009
